,,,,,,,,,,,
,,,,,,,,,,,
CANASTA FAMILIAR BÁSICA ,,,,,,,,,,,
BASE: Noviembre de 1982 = 100 ,,,,,,,,,,,
GOBIERNOS,MESES,AÑOS,COSTO CANASTA BÁSICA (dólares),INGRESO FAMILIAR MENSUAL*** (dólares),RESTRICCIÓN / EXCEDENTE EN EL CONSUMO (costo-ingreso) (dólares),RESTRICCIÓN / EXCENDENTE (porcentual),,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Roldós-Hurtado,Noviembre,1982,401.57,401.58,-0.02,0.0%,,,,,
,Julio,1983,358.84,301.57,57.28,16.0%,,,,,
León Febres Cordero,Enero,1984,197.30,174.36,22.94,11.6%,,,,,
,Marzo,1985,189.90,172.36,17.54,9.2%,,,,,
,Enero,1986,203.58,186.99,16.59,8.1%,,,,,
,Agosto,1986,183.53,170.32,13.21,7.2%,,,,,
,Julio,1987,195.40,170.63,24.77,12.7%,,,,,
,Junio,1988,128.26,91.12,37.14,29.0%,,,,,
Rodrigo Borja,Septiembre,1988,135.56,91.04,44.52,32.8%,,,,,
,Mayo,1989,196.65,109.18,87.47,44.5%,,,,,
,Noviembre,1989,188.37,104.89,83.48,44.3%,,,,,
,Octubre,1990,200.61,94.41,106.20,52.9%,,,,,
,Noviembre,1990,205.12,93.32,111.80,54.5%,,,,,
,Diciembre,1990,209.62,92.93,116.69,55.7%,,,,,
,Enero   ,1991,206.80,100.78,106.01,51.3%,,,,,
,Febrero   ,1991,205.90,118.17,87.73,42.6%,,,,,
,Marzo   ,1991,205.74,92.96,112.78,54.8%,,,,,
,Abril,1991,207.09,90.91,116.18,56.1%,,,,,
,Mayo,1991,200.89,84.70,116.19,57.8%,,,,,
,Junio,1991,205.77,84.12,121.65,59.1%,,,,,
,Julio,1991,210.88,84.17,126.72,60.1%,,,,,
,Agosto,1991,217.57,84.75,132.82,61.0%,,,,,
,Septiembre,1991,222.79,83.70,139.09,62.4%,,,,,
,Octubre,1991,222.29,91.05,131.24,59.0%,,,,,
,Noviembre,1991,221.00,88.43,132.57,60.0%,,,,,
,Diciembre,1991,214.90,82.24,132.66,61.7%,,,,,
,Enero,1992,216.95,90.65,126.29,58.2%,,,,,
,Febrero,1992,223.05,90.02,133.03,59.6%,,,,,
,Marzo,1992,230.67,90.25,140.42,60.9%,,,,,
,Abril,1992,235.29,87.46,147.83,62.8%,,,,,
,Mayo,1992,232.91,83.36,149.55,64.2%,,,,,
,Junio,1992,235.46,81.28,154.19,65.5%,,,,,
,Julio,1992,236.66,79.14,157.52,66.6%,,,,,
Sixto Durán Ballén,Agosto,1992,223.95,73.52,150.43,67.2%,,,,,
,Junio,1993,292.22,129.24,162.98,55.8%,,,,,
,Julio,1993,294.14,145.93,148.21,50.4%,,,,,
,Agosto,1993,295.73,144.48,151.25,51.1%,,,,,
,Septiembre,1993,301.73,144.95,156.79,52.0%,,,,,
,Octubre,1993,309.87,147.64,162.23,52.4%,,,,,
,Noviembre,1993,310.00,145.44,164.57,53.1%,,,,,
,Diciembre,1993,306.71,142.78,163.93,53.4%,,,,,
,Enero   ,1994,315.97,162.89,153.08,48.4%,,,,,
,Febrero   ,1994,328.45,163.95,164.50,50.1%,,,,,
,Marzo   ,1994,330.87,159.88,170.99,51.7%,,,,,
,Abril,1994,333.13,156.93,176.20,52.9%,,,,,
,Mayo,1994,337.14,156.27,180.87,53.6%,,,,,
,Junio,1994,341.39,155.51,185.88,54.4%,,,,,
,Julio,1994,342.90,196.18,146.72,42.8%,,,,,
,Agosto,1994,341.44,192.52,148.92,43.6%,,,,,
,Septiembre,1994,343.64,190.67,152.96,44.5%,,,,,
,Octubre,1994,347.35,189.31,158.05,45.5%,,,,,
,Noviembre,1994,350.48,187.30,163.18,46.6%,,,,,
,Diciembre,1994,361.73,187.66,174.07,48.1%,,,,,
,Enero   ,1995,365.63,227.16,138.47,37.9%,,,,,
,Febrero   ,1995,372.64,226.75,145.89,39.2%,,,,,
,Marzo   ,1995,371.09,226.75,144.34,38.9%,,,,,
,Abril,1995,373.15,226.75,146.40,39.2%,,,,,
,Mayo,1995,376.02,226.75,149.28,39.7%,,,,,
,Junio,1995,370.93,226.75,144.18,38.9%,,,,,
,Julio,1995,369.54,222.09,147.45,39.9%,,,,,
,Agosto,1995,371.73,222.09,149.64,40.3%,,,,,
,Septiembre,1995,378.17,222.93,155.24,41.1%,,,,,
,Octubre,1995,380.39,222.93,157.46,41.4%,,,,,
,Noviembre,1995,369.53,222.93,146.60,39.7%,,,,,
,Diciembre,1995,361.22,222.93,138.30,38.3%,,,,,
,Enero   ,1996,370.63,249.88,120.75,32.6%,,,,,
,Febrero   ,1996,377.21,249.88,127.33,33.8%,,,,,
,Marzo   ,1996,378.04,249.88,128.16,33.9%,,,,,
,Abril,1996,379.29,249.88,129.41,34.1%,,,,,
,Mayo,1996,376.99,249.88,127.11,33.7%,,,,,
,Junio,1996,382.64,249.88,132.76,34.7%,,,,,
,Julio,1996,385.53,260.27,125.27,32.5%,,,,,
Abdalá Bucarám O.,Agosto,1996,381.91,260.27,121.65,31.9%,,,,,
,Septiembre,1996,387.97,260.27,127.70,32.9%,,,,,
,Octubre,1996,394.67,260.27,134.40,34.1%,,,,,
,Noviembre,1996,390.43,260.27,130.16,33.3%,,,,,
,Diciembre,1996,376.11,260.27,115.84,30.8%,,,,,
,Enero   ,1997,387.36,254.58,132.78,34.3%,,,,,
,Febrero   ,1997,393.27,254.58,138.70,35.3%,,,,,
Fabián Alarcón R.,Marzo   ,1997,394.90,254.58,140.32,35.5%,,,,,
,Abril,1997,398.63,254.58,144.05,36.1%,,,,,
,Mayo,1997,395.63,254.58,141.05,35.7%,,,,,
,Junio,1997,395.82,254.58,141.24,35.7%,,,,,
,Julio,1997,399.04,255.54,143.51,36.0%,,,,,
,Agosto,1997,399.54,255.54,144.00,36.0%,,,,,
,Septiembre,1997,402.27,255.54,146.73,36.5%,,,,,
,Octubre,1997,405.59,255.54,150.05,37.0%,,,,,
,Noviembre,1997,404.54,255.54,149.01,36.8%,,,,,
,Diciembre,1997,399.71,255.54,144.17,36.1%,,,,,
,Enero   ,1998,401.89,249.63,152.26,37.9%,,,,,
,Febrero   ,1998,406.17,249.63,156.53,38.5%,,,,,
,Marzo   ,1998,404.99,249.63,155.36,38.4%,,,,,
,Abril,1998,397.17,249.63,147.54,37.1%,,,,,
,Mayo,1998,389.14,220.52,168.62,43.3%,,,,,
,Junio,1998,395.62,220.52,175.10,44.3%,,,,,
,Julio,1998,396.81,237.62,159.19,40.1%,,,,,
Jamil Mahuad W.,Agosto,1998,394.08,237.62,156.46,39.7%,,,,,
,Septiembre,1998,377.75,237.62,140.13,37.1%,,,,,
,Octubre,1998,354.56,216.58,137.98,38.9%,,,,,
,Noviembre,1998,372.88,216.58,156.30,41.9%,,,,,
,Diciembre,1998,369.92,216.58,153.35,41.5%,,,,,
,Enero   ,1999,352.63,218.07,134.56,38.2%,,,,,
,Febrero   ,1999,335.43,218.07,117.36,35.0%,,,,,
,Marzo   ,1999,273.03,218.07,54.96,20.1%,,,,,
,Abril,1999,331.25,166.20,165.04,49.8%,,,,,
,Mayo,1999,352.09,166.20,185.88,52.8%,,,,,
,Junio,1999,295.59,146.86,148.73,50.3%,,,,,
,Julio,1999,279.94,152.42,127.53,45.6%,,,,,
,Agosto,1999,295.63,152.42,143.21,48.4%,,,,,
,Septiembre,1999,278.22,152.42,125.80,45.2%,,,,,
,Octubre,1999,224.07,152.42,71.65,32.0%,,,,,
,Noviembre,1999,213.79,152.42,61.37,28.7%,,,,,
,Diciembre,1999,219.95,152.42,67.54,30.7%,,,,,
Gustavo Noboa B.,Enero,2000,178.75,80.30,98.45,55.1%,,,,,
,Febrero,2000,196.64,80.30,116.34,59.2%,,,,,
,Marzo,2000,216.83,80.30,136.53,63.0%,,,,,
,Abril,2000,245.22,113.72,131.50,53.6%,,,,,
,Mayo    ,2000,260.74,116.30,144.44,55.4%,,,,,
,Junio    ,2000,274.76,164.60,110.20,40.1%,,,,,
,Julio*,2000,226.39,163.57,62.82,27.7%,,,,,
,Agosto  ,2000,229.46,163.57,65.90,28.7%,,,,,
,Septiembre ,2000,234.63,163.57,74.68,31.3%,,,,,
,Octubre  ,2000,244.17,163.57,80.59,33.0%,,,,,
,Noviembre  ,2000,248.10,163.57,84.53,34.1%,,,,,
,Diciembre  ,2000,252.93,163.57,89.36,35.3%,,,,,
,Enero   ,2001,269.77,200.73,69.04,25.6%,,,,,
,Febrero   ,2001,278.02,200.73,77.29,27.8%,,,,,
,Marzo   ,2001,284.25,200.73,83.52,29.4%,,,,,
,Abril,2001,288.45,200.73,87.72,30.4%,,,,,
,Mayo,2001,287.77,200.73,87.04,30.2%,,,,,
,Junio,2001,288.79,200.73,88.06,30.5%,,,,,
,Julio,2001,290.66,200.73,89.93,30.9%,,,,,
,Agosto,2001,292.97,200.73,92.24,31.5%,,,,,
,Septiembre,2001,299.42,200.73,98.69,33.0%,,,,,
,Octubre,2001,304.06,200.73,103.33,34.0%,,,,,
,Noviembre,2001,310.21,200.73,109.48,35.3%,,,,,
,Diciembre,2001,313.56,200.73,112.83,36.0%,,,,,
,Enero,2002,319.15,221.26,97.89,30.7%,,,,,
,Febrero,2002,323.18,221.26,101.92,31.5%,,,,,
,Marzo,2002,327.34,221.26,106.08,32.4%,,,,,
,Abril,2002,330.31,221.26,109.05,33.0%,,,,,
,Mayo,2002,333.32,221.26,112.06,33.6%,,,,,
,Junio,2002,334.05,221.26,112.79,33.8%,,,,,
,Julio,2002,336.29,221.26,115.03,34.2%,,,,,
,Agosto,2002,339.91,221.26,118.65,34.9%,,,,,
,Septiembre,2002,341.22,221.26,119.96,35.2%,,,,,
,Octubre,2002,346.14,221.26,124.88,36.1%,,,,,
,Noviembre,2002,351.47,221.26,130.21,37.0%,,,,,
,Diciembre,2002,353.24,221.26,131.98,37.4%,,,,,
Lúcio Gutierrez B.,Enero,2003,361.75,253.17,108.58,30.0%,,,,,
,Febrero,2003,362.00,253.17,108.83,30.1%,,,,,
,Marzo,2003,363.79,253.17,110.62,30.4%,,,,,
,Abril,2003,366.59,253.17,113.42,30.9%,,,,,
,Mayo,2003,368.72,253.17,115.55,31.3%,,,,,
,Junio,2003,369.95,253.17,116.78,31.6%,,,,,
,Julio,2003,371.11,253.17,117.94,31.8%,,,,,
,Agosto,2003,373.80,253.17,120.63,32.3%,,,,,
,Septiembre,2003,376.47,253.17,123.30,32.8%,,,,,
,Octubre,2003,378.02,253.17,124.85,33.0%,,,,,
,Noviembre,2003,378.29,253.17,125.12,33.1%,,,,,
,Diciembre,2003,378.34,253.17,125.17,33.1%,,,,,
,Enero ,2004,381.39,265.95,115.44,30.3%,,,,,
,Febrero,2004,384.03,265.95,118.08,30.7%,,,,,
,Marzo,2004,385.58,265.95,119.63,31.0%,,,,,
,Abril,2004,387.59,265.95,121.64,31.4%,,,,,
,Mayo,2004,388.38,265.95,122.43,31.5%,,,,,
,Junio,2004,387.76,265.95,121.81,31.4%,,,,,
,Julio,2004,386.75,265.95,120.80,31.2%,,,,,
,Agosto,2004,388.57,265.95,122.62,31.6%,,,,,
,Septiembre,2004,388.98,265.95,123.03,31.6%,,,,,
,Octubre,2004,390.21,265.95,124.26,31.8%,,,,,
,Noviembre,2004,392.26,265.95,126.31,32.2%,,,,,
,Diciembre,2004,394.45,265.95,128.50,32.6%,,,,,
,Enero,2005,417.57,265.95,151.62,36.3%,,,,,
,Febrero,2005,419.51,268.09,151.42,36.1%,,,,,
,Marzo,2005,421.47,280.00,141.47,33.6%,,,,,
,Abril,2005,425.12,280.00,145.12,34.1%,,,,,
Alfredo Palacio,Mayo,2005,425.38,280.00,145.38,34.2%,,,,,
,Junio,2005,425.10,280.00,145.10,34.1%,,,,,
,Julio,2005,425.85,280.00,145.85,34.2%,,,,,
,Agosto,2005,425.10,280.00,145.10,34.1%,,,,,
,Septiembre,2005,426.74,280.00,146.74,34.4%,,,,,
,Octubre,2005,432.11,280.00,152.11,35.2%,,,,,
,Noviembre,2005,435.77,280.00,155.77,35.7%,,,,,
,Diciembre,2005,437.41,280.00,157.41,36.0%,,,,,
,Enero,2006,440.81,298.67,142.14,32.2%,,,,,
,Febrero,2006,442.17,298.67,143.50,32.5%,,,,,
,Marzo,2006,446.74,298.67,148.07,33.14%,,,,,
,Abril,2006,446.57,298.67,147.90,33.12%,,,,,
,Mayo,2006,446.80,298.67,148.13,33.2%,,,,,
,Junio,2006,444.95,298.67,146.28,32.9%,,,,,
,Julio,2006,445.44,298.67,146.77,32.9%,,,,,
,Agosto,2006,447.49,298.67,148.82,33.26%,,,,,
,Septiembre,2006,450.83,298.67,152.16,33.8%,,,,,
,Octubre,2006,453.20,298.67,154.53,34.1%,,,,,
,Noviembre,2006,453.31,298.67,154.64,34.1%,,,,,
,Diciembre,2006,453.26,298.67,154.59,34.1%,,,,,
Rafael Correa,Enero,2007,453.97,317.34,136.63,30.1%,,,,,
,Febrero,2007,453.75,317.34,136.41,30.1%,,,,,
,Marzo,2007,454.29,317.34,136.95,30.1%,,,,,
,Abril,2007,455.00,317.34,137.66,30.3%,,,,,
,Mayo,2007,455.29,317.34,137.95,30.3%,,,,,
,Junio,2007,457.79,317.34,140.45,30.7%,,,,,
,Julio,2007,461.75,317.34,144.41,31.3%,,,,,
,Agosto,2007,463.00,317.34,145.66,31.5%,,,,,
,Septiembre,2007,464.90,317.34,147.56,31.7%,,,,,
,Octubre,2007,467.57,317.34,150.23,32.1%,,,,,
,Noviembre,2007,469.57,317.34,152.23,32.4%,,,,,
,Diciembre,2007,472.74,317.34,155.40,32.9%,,,,,
,Enero,2008,478.82,373.34,105.48,22.0%,,,,,
,Febrero,2008,483.10,373.34,109.76,22.7%,,,,,
,Marzo,2008,488.83,373.34,115.49,23.6%,,,,,
,Abril,2008,495.82,373.34,122.48,24.7%,,,,,
,Mayo,2008,503.05,373.34,129.71,25.8%,,,,,
,Junio,2008,506.84,373.34,133.50,26.3%,,,,,
,Julio,2008,507.48,373.34,134.14,26.4%,,,,,
,Agosto,2008,507.84,373.34,134.50,26.48%,,,,,
,Septiembre,2008,509.35,373.34,136.01,26.70%,,,,,
,Octubre,2008,507.32,373.34,133.98,26.41%,,,,,
,Noviembre,2008,506.79,373.34,133.45,26.33%,,,,,
,Diciembre,2008,508.94,373.34,135.60,26.64%,,,,,
,Enero,2009,512.03,406.93,105.10,20.53%,,,,,
,Febrero,2009,513.27,406.93,106.34,20.72%,,,,,
,Marzo,2009,519.90,406.93,112.97,21.73%,,,,,
,Abril,2009,522.76,406.93,115.83,22.16%,,,,,
,Mayo,2009,522.75,406.93,115.82,22.16%,,,,,
,Junio,2009,522.38,406.93,115.45,22.10%,,,,,
,Julio,2009,521.73,406.93,114.80,22.00%,,,,,
,Agosto,2009,519.30,406.93,112.37,21.64%,,,,,
,Septiembre,2009,521.26,406.93,114.33,21.93%,,,,,
,Octubre,2009,522.34,406.93,115.41,22.09%,,,,,
,Noviembre,2009,522.59,406.93,115.66,22.13%,,,,,
,Diciembre,2009,528.90,406.93,121.97,23.06%,,,,,
,Enero,2010,534.33,448.00,86.33,16.16%,,,,,
,Febrero,2010,535.48,448.00,87.48,16.34%,,,,,
,Marzo,2010,535.56,448.00,87.56,16.35%,,,,,
,Abril,2010,539.67,448.00,91.67,16.99%,,,,,
,Mayo,2010,538.89,448.00,90.89,16.87%,,,,,
,Junio,2010,538.12,448.00,90.12,16.75%,,,,,
,Julio,2010,536.93,448.00,88.93,16.56%,,,,,
,Agosto,2010,538.73,448.00,90.73,16.84%,,,,,
,Septiembre,2010,539.36,448.00,91.36,16.94%,,,,,
,Octubre,2010,540.10,448.00,92.10,17.05%,,,,,
,Noviembre,2010,541.82,448.00,93.82,17.32%,,,,,
,Diciembre,2010,544.71,448.00,96.71,17.75%,,,,,
,Enero,2011,548.63,492.80,55.83,10.18%,,,,,
,Febrero,2011,551.24,492.80,58.44,10.60%,,,,,
,Marzo,2011,551.87,492.80,59.07,10.70%,,,,,
,Abril,2011,555.27,492.80,62.47,11.25%,,,,,
,Mayo,2011,557.44,492.80,64.64,11.60%,,,,,
,Junio,2011,556.93,492.80,64.13,11.51%,,,,,
,Julio,2011,559.41,492.80,66.61,11.91%,,,,,
,Agosto,2011,563.75,492.80,70.95,12.59%,,,,,
,Septiembre,2011,567.41,492.80,74.61,13.15%,,,,,
,Octubre,2011,571.08,492.80,78.28,13.71%,,,,,
,Noviembre,2011,572.35,492.80,79.55,13.90%,,,,,
,Diciembre,2011,578.04,492.80,85.24,14.75%,,,,,
,Enero,2012,581.21,545.07,36.14,6.22%,,,,,
,Febrero,2012,583.27,545.07,38.20,6.55%,,,,,
,Marzo,2012,587.36,545.07,42.29,7.20%,,,,,
,Abril,2012,588.48,545.07,43.41,7.38%,,,,,
,Mayo,2012,584.71,545.07,39.64,6.78%,,,,,
,Junio,2012,586.18,545.07,41.11,7.01%,,,,,
,Julio,2012,585.81,545.07,40.74,6.95%,,,,,
,Agosto,2012,587.86,545.07,42.79,7.28%,,,,,
,Septiembre,2012,594.06,545.07,48.99,8.25%,,,,,
,Octubre,2012,595.44,545.07,50.37,8.46%,,,,,
,Noviembre,2012,596.42,545.07,51.35,8.61%,,,,,
,Diciembre,2012,595.70,545.07,50.63,8.50%,,,,,
,Enero,2013,601.61,593.60,8.01,1.33%,,,,,
,Febrero,2013,602.07,593.60,8.47,1.41%,,,,,
,Marzo,2013,604.25,593.60,10.66,1.76%,,,,,
,Abril,2013,605.52,593.60,11.92,1.97%,,,,,
,Mayo,2013,605.92,593.60,12.32,2.03%,,,,,
,Junio,2013,606.29,593.60,12.69,2.09%,,,,,
,Julio,2013,606.48,593.60,12.88,2.12%,,,,,
,Agosto,2013,609.57,593.60,15.97,2.62%,,,,,
,Septiembre,2013,612.05,593.60,18.45,3.01%,,,,,
,Octubre,2013,614.01,593.60,20.41,3.32%,,,,,
,Noviembre,2013,617.54,593.60,23.94,3.88%,,,,,
,Diciembre,2013,620.86,593.60,27.26,4.39%,,,,,
,Enero,2014,628.27,634.67,-6.40,-1.02%,,,,,
,Febrero,2014,628.22,634.67,-6.45,-1.03%,,,,,
,Marzo,2014,632.19,634.67,-2.48,-0.39%,,,,,
,Abril,2014,633.61,634.67,-1.06,-0.17%,,,,,
,Mayo,2014,634.27,634.67,-0.40,-0.06%,,,,,
,Junio,2014,634.67,634.67,0.00,0.00%,,,,,
,Julio,2014,637.00,634.67,2.33,0.37%,,,,,
,Agosto,2014,638.06,634.67,3.39,0.53%,,,,,
,Septiembre,2014,641.20,634.67,6.53,1.02%,,,,,
,Octubre,2014,642.85,634.67,8.18,1.27%,,,,,
,Noviembre,2014,644.74,634.67,10.08,1.56%,,,,,
,Diciembre,2014,646.30,634.67,11.63,1.80%,,,,,
,Enero**,2015,653.21,660.80,-7.59,-1.16%,,,,,
,Febrero,2015,654.48,660.80,-6.32,-0.97%,,,,,
,Marzo,2015,657.68,660.80,-3.12,-0.47%,,,,,
,Abril,2015,660.85,660.80,0.05,0.01%,,,,,
,Mayo,2015,665.09,660.80,4.29,0.65%,,,,,
,Junio,2015,666.92,660.80,6.12,0.92%,,,,,
,Julio,2015,668.57,660.80,7.77,1.16%,,,,,
,Agosto,2015,668.95,660.80,8.15,1.22%,,,,,
,Septiembre,2015,670.53,660.80,9.73,1.45%,,,,,
,Octubre,2015,669.88,660.80,9.08,1.36%,,,,,
,Noviembre,2015,669.96,660.80,9.16,1.37%,,,,,
,Diciembre,2015,673.21,660.80,12.41,1.84%,,,,,
,Enero,2016,675.93,683.20,-7.28,-1.08%,,,,,
,Febrero,2016,678.61,683.20,-4.59,-0.68%,,,,,
,Marzo,2016,680.70,683.20,-2.50,-0.37%,,,,,
,Abril,2016,683.16,683.20,-0.04,-0.01%,,,,,
,Mayo,2016,686.74,683.20,3.54,0.52%,,,,,
,Junio,2016,688.53,683.20,5.33,0.77%,,,,,
,Julio,2016,688.21,683.20,5.01,0.73%,,,,,
,Agosto,2016,689.10,683.20,5.91,0.86%,,,,,
,Septiembre,2016,691.38,683.20,8.18,1.18%,,,,,
,Octubre,2016,691.88,683.20,8.68,1.26%,,,,,
,Noviembre,2016,692.56,683.20,9.36,1.35%,,,,,
,Diciembre,2016,700.96,683.20,17.76,2.53%,,,,,
,Enero,2017,701.93,700.00,1.94,0.28%,,,,,
,Febrero,2017,708.52,700.00,8.52,1.20%,,,,,
,Marzo,2017,709.22,700.00,9.23,1.30%,,,,,
,Abril,2017,706.04,700.00,6.04,0.86%,,,,,
,Mayo,2017,709.18,700.00,9.18,1.29%,,,,,
Lenín Moreno,Junio,2017,707.47,700.00,7.47,1.06%,,,,,
,Julio,2017,708.51,700.00,8.51,1.20%,,,,,
,Agosto,2017,709.25,700.00,9.26,1.30%,,,,,
,Septiembre,2017,708.79,700.00,8.79,1.24%,,,,,
,Octubre,2017,708.01,700.00,8.01,1.13%,,,,,
,Noviembre,2017,706.31,700.00,6.31,0.89%,,,,,
,Diciembre,2017,708.98,700.00,8.98,1.27%,,,,,
,Enero,2018,712.03,720.53,-8.51,-1.19%,,,,,
,Febrero,2018,710.46,720.53,-10.07,-1.42%,,,,,
,Marzo,2018,711.13,720.53,-9.40,-1.32%,,,,,
,Abril ,2018,709.74,720.53,-10.80,-1.52%,,,,,
,Mayo,2018,710.07,720.53,-10.46,-1.47%,,,,,
,Junio,2018,708.22,720.53,-12.31,-1.74%,,,,,
,Julio,2018,707.54,720.53,-12.99,-1.84%,,,,,
,Agosto,2018,710.76,720.53,-9.77,-1.38%,,,,,
,Septiembre,2018,712.66,720.53,-7.87,-1.10%,,,,,
,Octubre,2018,714.31,720.53,-6.22,-0.87%,,,,,
,Noviembre,2018,714.67,720.53,-5.86,-0.82%,,,,,
,Diciembre,2018,715.16,720.53,-5.37,-0.75%,,,,,
,Enero,2019,719.88,735.47,-15.60,-2.17%,,,,,
,Febrero,2019,717.79,735.47,-17.69,-2.46%,,,,,
,Marzo,2019,713.05,735.47,-22.43,-3.15%,,,,,
,Abril,2019,715.70,735.47,-19.77,-2.76%,,,,,
,Mayo,2019,715.61,735.47,-19.86,-2.78%,,,,,
,Junio,2019,715.83,735.47,-19.64,-2.74%,,,,,
,Julio,2019,715.74,735.47,-19.74,-2.76%,,,,,
,Agosto,2019,714.47,735.47,-21.01,-2.94%,,,,,
,Septiembre,2019,713.75,735.47,-21.73,-3.04%,,,,,
,Octubre,2019,718.18,735.47,-17.29,-2.41%,,,,,
,Noviembre,2019,715.10,735.47,-20.37,-2.85%,,,,,
,Diciembre,2019,715.08,735.47,-20.40,-2.85%,,,,,
,Enero,2020,716.14,746.67,-30.53,-4.26%,,,,,
,Febrero,2020,713.00,746.67,-33.68,-4.72%,,,,,
,Marzo,2020,713.89,746.67,-32.78,-4.59%,,,,,
,Abril,2020,728.38,746.67,-18.29,-2.51%,,,,,
,Mayo,2020,724.41,746.67,-22.26,-3.07%,,,,,
,Junio,2020,719.03,746.67,-27.64,-3.84%,,,,,
,Julio,2020,713.72,746.67,-32.95,-4.62%,,,,,
,Agosto,2020,711.33,746.67,-35.34,-4.97%,,,,,
,Septiembre,2020,711.03,746.67,-35.65,-5.01%,,,,,
,Octubre,2020,710.74,746.67,-35.94,-5.06%,,,,,
,Noviembre,2020,711.12,746.67,-35.56,-5.00%,,,,,
,Diciembre,2020,710.08,746.67,-36.59,-5.15%,,,,,
,Enero,2021,712.11,746.67,-34.56,-4.85%,,,,,
,Febrero,2021,712.07,746.67,-34.61,-4.86%,,,,,
,Marzo,2021,711.80,746.67,-34.88,-4.90%,,,,,
,Abril,2021,711.18,746.67,-35.49,-4.99%,,,,,
,Mayo,2021,710.95,746.67,-35.73,-5.03%,,,,,
Guillermo Lasso,Junio,2021,709.40,746.67,-37.28,-5.25%,,,,,
,Julio,2021,711.68,746.67,-35.00,-4.92%,,,,,
,Agosto,2021,712.67,746.67,-34.00,-4.77%,,,,,
,Septiembre,2021,712.85,746.67,-33.82,-4.74%,,,,,
,Octubre,2021,712.12,746.67,-34.55,-4.85%,,,,,
,Noviembre,2021,715.31,746.67,-31.36,-4.38%,,,,,
,Diciembre,2021,719.65,746.67,-27.02,-3.75%,,,,,
,Enero,2022,724.39,793.33,-68.96,-9.52%,,,,,
,Febrero,2022,725.16,793.33,-68.17,-9.40%,,,,,
,Marzo,2022,725.27,793.33,-68.06,-9.38%,,,,,
,Abril,2022,728.68,793.33,-64.66,-8.87%,,,,,
,Mayo,2022,735.15,793.33,-58.19,-7.92%,,,,,
,Junio,2022,751.04,793.33,-42.30,-5.63%,,,,,
,Julio,2022,753.62,793.33,-39.71,-5.27%,,,,,
,Agosto,2022,754.17,793.33,-39.16,-5.19%,,,,,
,Septiembre,2022,756.90,793.33,-36.43,-4.81%,,,,,
,Octubre,2022,756.51,793.33,-36.82,-4.87%,,,,,
,Noviembre,2022,761.14,793.33,-32.19,-4.23%,,,,,
,Diciembre,2022,763.44,793.33,-29.89,-3.91%,,,,,
,Enero,2023,764.71,840.00,-75.30,-9.85%,,,,,
,Febrero,2023,767.11,840.00,-72.89,-9.50%,,,,,
,Marzo,2023,766.62,840.00,-73.39,-9.57%,,,,,
,Abril,2023,767.31,840.00,-72.69,-9.47%,,,,,
,Mayo,2023,766.73,840.00,-73.28,-9.56%,,,,,
,Junio,2023,772.35,840.00,-67.65,-8.76%,,,,,
,Julio,2023,779.61,840.00,-60.39,-7.75%,,,,,
,Agosto,2023,785.47,840.00,-54.53,-6.94%,,,,,
,Septiembre,2023,782.34,840.00,-57.66,-7.37%,,,,,
,Octubre,2023,784.02,840.00,-55.98,-7.14%,,,,,
,Noviembre,2023,784.65,840.00,-55.35,-7.05%,,,,,
Daniel Noboa,Diciembre,2023,786.31,840.00,-53.69,-6.83%,,,,,
,Enero,2024,789.57,858.67,-69.10,-8.75%,,,,,
,Febrero,2024,791.09,858.67,-67.58,-8.54%,,,,,
,Marzo,2024,795.30,858.67,-63.37,-7.97%,,,,,
,Abril,2024,797.69,858.67,-60.98,-7.64%,,,,,
,Mayo,2024,799.73,858.67,-58.94,-7.37%,,,,,
,Junio,2024,795.75,858.67,-62.92,-7.91%,,,,,
,Julio,2024,798.00,858.67,-60.66,-7.60%,,,,,
,Agosto,2024,800.10,858.67,-58.56,-7.32%,,,,,
,Septiembre,2024,803.82,858.67,-54.84,-6.82%,,,,,
,Octubre,2024,805.04,858.67,-53.63,-6.66%,,,,,
,Noviembre,2024,804.79,858.67,-53.88,-6.69%,,,,,
,Diciembre,2024,797.97,858.67,-60.70,-7.61%,,,,,
,Enero,2025,798.31,877.33,-79.02,-9.90%,,,,,
,Febrero,2025,797.07,877.33,-80.26,-10.07%,,,,,
,Marzo,2025,800.60,877.33,-76.73,-9.58%,,,,,
,Abril,2025,802.58,877.33,-74.75,-9.31%,,,,,
,Mayo,2025,812.30,877.33,-65.03,-8.01%,,,,,
,Junio,2025,812.64,877.33,-64.69,-7.96%,,,,,
,Julio,2025,813.82,877.33,-63.51,-7.80%,,,,,
,Agosto,2025,813.88,877.33,-63.45,-7.80%,,,,,
,Septiembre,2025,819.77,877.33,-57.56,-7.02%,,,,,
,,,,,,,,,,,
Notas:,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Fuente: Canasta Familiar Básica,,,,,,,,,,,
,,,,,,,,,,,
Realizadores:,,,,,,,,,,,
Elaboración: Michael Soria,,,,,,,,,,,
Revisión:  Franklin Tenesaca / Yadira Orejuela,,,,,,,,,,,
Aprobación:  Diana Barco,,,,,,,,,,,
